Id,Location,Size,Bedrooms,Bathrooms,Year_Built,Price
6008,Noida,800 sqft,1.0,3.0,2008.0,3150557
6009,Mumbai,,3.0,3.0,1995.0,6116475
6010,Noida,1800 sqft,3.0,,2000.0,3474776
6011,Bangalore,1500sqft,3.0,1.0,2015.0,6525947
6012,Bangalore,,3.0,2.0,1995.0,4789220
6013,Gurgaon,1000 sqft,3.0,3.0,2005.0,5660010
6014,Bangalore,2000 sqft,2.0,,2018.0,7062234
6015,Delhi,800 sqft,3.0,1.0,2010.0,4084335
6016,Delhi,,4.0,3.0,2010.0,3073400
6017,Gurgaon,800 sqft,,3.0,1995.0,5089591
6018,Mumbai,900sqft,4.0,1.0,2010.0,7082819
6019,Gurgaon,,2.0,1.0,2018.0,4096369
6020,Bangalore,1800 sqft,2.0,1.0,1995.0,6900192
6021,Noida,1800 sqft,2.0,2.0,2005.0,3342103
6022,Bangalore,1000 sqft,1.0,,2005.0,7077022
6023,Bangalore,900sqft,4.0,3.0,2005.0,6176545
6024,Delhi,900sqft,2.0,,1995.0,3732844
6025,Delhi,,3.0,1.0,2000.0,2817612
6026,Gurgaon,2000 sqft,2.0,3.0,1995.0,5660772
6027,Pune,2000 sqft,,,,4880156
6028,Gurgaon,,2.0,,1998.0,3849537
6029,Gurgaon,2000 sqft,3.0,3.0,2005.0,5616960
6030,Gurgaon,,,2.0,,3824049
6031,Noida,800 sqft,2.0,,1998.0,3374470
6032,Noida,1000 sqft,3.0,1.0,2015.0,3745579
6033,Bangalore,1500sqft,2.0,1.0,2008.0,6529236
6034,Noida,800 sqft,3.0,3.0,2005.0,3385939
6035,Gurgaon,1000 sqft,3.0,2.0,1998.0,5815940
6036,Mumbai,1500sqft,,2.0,2000.0,7789275
6037,Delhi,900sqft,3.0,,2012.0,3613426
6038,Delhi,1000 sqft,3.0,1.0,1995.0,4039138
6039,Delhi,1500sqft,1.0,2.0,2000.0,3949961
6040,Bangalore,800 sqft,2.0,1.0,2005.0,6604725
6041,Gurgaon,,3.0,2.0,2010.0,3758296
6042,Gurgaon,2000 sqft,1.0,3.0,2012.0,5484714
6043,Delhi,2000 sqft,2.0,1.0,2015.0,4395645
6044,Gurgaon,800 sqft,4.0,2.0,1995.0,5417761
6045,Delhi,,2.0,3.0,2015.0,2813815
6046,Mumbai,NaN,2.0,1.0,2015.0,6186421
6047,Mumbai,1500sqft,,3.0,1998.0,7783508
6048,Mumbai,1800 sqft,4.0,,2005.0,8291287
6049,Bangalore,,2.0,3.0,2018.0,4796194
6050,Delhi,1200 sqft,3.0,,,4335923
6051,Delhi,,,2.0,2012.0,3138500
6052,Gurgaon,2000 sqft,1.0,1.0,,5492561
6053,Bangalore,NaN,2.0,1.0,1998.0,4967629
6054,Delhi,,3.0,1.0,2012.0,3083664
6055,Bangalore,,3.0,1.0,1995.0,5143172
6056,Noida,1200 sqft,,,,3574922
6057,Bangalore,800 sqft,2.0,2.0,2010.0,6381566
6058,Bangalore,,1.0,2.0,2000.0,5247158
6059,Pune,800 sqft,2.0,2.0,2008.0,4483938
6060,Pune,800 sqft,1.0,3.0,2018.0,4448423
6061,Delhi,900sqft,2.0,1.0,2010.0,3400328
6062,Delhi,1000 sqft,2.0,1.0,2015.0,3975015
6063,Bangalore,NaN,2.0,3.0,2008.0,5153576
6064,Bangalore,1800 sqft,3.0,1.0,2015.0,6954592
6065,Delhi,1800 sqft,1.0,1.0,2018.0,4168872
6066,Delhi,,3.0,2.0,,3158132
6067,Delhi,900sqft,,3.0,2005.0,3479181
6068,Delhi,1000 sqft,2.0,2.0,2010.0,3985776
6069,Noida,NaN,3.0,1.0,2005.0,2659062
6070,Noida,1800 sqft,,2.0,2018.0,3618178
6071,Bangalore,800 sqft,,1.0,2008.0,6334209
6072,Delhi,900sqft,4.0,,1998.0,3464818
6073,Noida,,1.0,1.0,2012.0,2504370
6074,Mumbai,1000 sqft,4.0,,1995.0,8404144
6075,Mumbai,1000 sqft,4.0,1.0,1998.0,8460096
6076,Gurgaon,800 sqft,3.0,,,5025986
6077,Bangalore,1800 sqft,,2.0,2015.0,7002451
6078,Bangalore,1800 sqft,2.0,,,7150407
6079,Bangalore,,2.0,2.0,2015.0,5212265
6080,Gurgaon,1800 sqft,,,2015.0,5705308
6081,Mumbai,1500sqft,,,2018.0,7881885
6082,Delhi,1800 sqft,2.0,,1995.0,4366753
6083,Noida,1000 sqft,2.0,1.0,2000.0,3396978
6084,Noida,800 sqft,4.0,2.0,2018.0,3014397
6085,Mumbai,900sqft,,2.0,2012.0,6981880
6086,Delhi,,3.0,2.0,2015.0,3219535
6087,Mumbai,NaN,2.0,2.0,1995.0,6104023
6088,Bangalore,NaN,2.0,2.0,2000.0,5246708
6089,Pune,,1.0,1.0,2008.0,3672199
6090,Mumbai,,4.0,1.0,1998.0,6150149
6091,Mumbai,1200 sqft,1.0,1.0,2000.0,8576909
6092,Pune,2000 sqft,2.0,,,4738442
6093,Bangalore,1800 sqft,2.0,,2005.0,6941417
6094,Pune,1200 sqft,3.0,,,4752739
6095,Noida,NaN,2.0,2.0,2012.0,2701547
6096,Delhi,1000 sqft,3.0,1.0,1998.0,4265085
6097,Pune,1800 sqft,1.0,,1998.0,4719487
6098,Noida,1200 sqft,3.0,1.0,2008.0,3502509
6099,Pune,,2.0,3.0,1998.0,3451032
6100,Pune,2000 sqft,2.0,3.0,2018.0,4744942
6101,Mumbai,1000 sqft,2.0,3.0,2010.0,8356817
6102,Pune,1000 sqft,3.0,1.0,2010.0,5047614
6103,Bangalore,1200 sqft,2.0,,2018.0,7097193
6104,Bangalore,1500sqft,4.0,2.0,,6389521
6105,Noida,1500sqft,2.0,3.0,2005.0,3354496
6106,Bangalore,1000 sqft,1.0,2.0,2010.0,7089320
6107,Bangalore,1000 sqft,4.0,1.0,2012.0,6997447
6108,Bangalore,NaN,2.0,2.0,2015.0,4990964
6109,Gurgaon,1500sqft,2.0,1.0,2008.0,5436380
6110,Pune,1500sqft,2.0,1.0,2015.0,4458671
6111,Delhi,,2.0,2.0,1998.0,2941628
6112,Mumbai,1000 sqft,3.0,2.0,2010.0,8377421
6113,Bangalore,1200 sqft,4.0,3.0,1998.0,6992538
6114,Gurgaon,1800 sqft,,3.0,2005.0,5796297
6115,Bangalore,1800 sqft,3.0,1.0,2018.0,7025745
6116,Noida,1200 sqft,2.0,2.0,1995.0,3471408
6117,Gurgaon,1000 sqft,3.0,3.0,2008.0,5618934
6118,Gurgaon,2000 sqft,,1.0,,5687726
6119,Delhi,,4.0,3.0,2012.0,2803521
6120,Delhi,800 sqft,3.0,1.0,2012.0,3850740
6121,Pune,1800 sqft,4.0,1.0,2010.0,4863176
6122,Pune,1800 sqft,2.0,1.0,,4714983
6123,Noida,1500sqft,3.0,2.0,2005.0,3013549
6124,Bangalore,800 sqft,1.0,2.0,2005.0,6441046
6125,Bangalore,,4.0,,2010.0,4837378
6126,Delhi,1500sqft,2.0,2.0,1998.0,3965284
6127,Mumbai,1200 sqft,2.0,2.0,2010.0,8646918
6128,Delhi,900sqft,2.0,3.0,2008.0,3520784
6129,Bangalore,900sqft,4.0,1.0,1998.0,6118443
6130,Pune,,2.0,3.0,2012.0,3732651
6131,Noida,1800 sqft,2.0,,2005.0,3281840
6132,Delhi,,,1.0,2005.0,3178102
6133,Delhi,2000 sqft,3.0,1.0,,4212878
6134,Gurgaon,,,1.0,2015.0,4141137
6135,Mumbai,800 sqft,3.0,,1995.0,7993243
6136,Noida,1500sqft,1.0,1.0,2000.0,3120998
6137,Noida,800 sqft,2.0,2.0,,3126002
6138,Pune,,3.0,1.0,2015.0,3617373
6139,Pune,900sqft,2.0,2.0,2010.0,4268779
6140,Mumbai,,2.0,,1995.0,6242432
6141,Pune,800 sqft,3.0,,2000.0,4725838
6142,Pune,800 sqft,,3.0,2008.0,4704100
6143,Mumbai,1500sqft,1.0,2.0,2018.0,7677694
6144,Bangalore,800 sqft,2.0,1.0,2015.0,6536351
6145,Noida,900sqft,4.0,1.0,2012.0,3033117
6146,Gurgaon,,,1.0,,4182147
6147,Delhi,,2.0,3.0,2000.0,2928139
6148,Mumbai,800 sqft,2.0,1.0,2012.0,7832795
6149,Noida,1200 sqft,1.0,3.0,1995.0,3494327
6150,Mumbai,1200 sqft,,2.0,1998.0,8181172
6151,Gurgaon,800 sqft,4.0,1.0,1995.0,5067027
6152,Mumbai,,1.0,1.0,,5850526
6153,Delhi,900sqft,2.0,2.0,1995.0,3535806
6154,Bangalore,,1.0,1.0,2005.0,4940614
6155,Noida,2000 sqft,3.0,2.0,1995.0,3640336
6156,Delhi,1500sqft,2.0,1.0,2008.0,4128523
6157,Noida,1800 sqft,2.0,,1995.0,3291511
6158,Pune,800 sqft,3.0,1.0,2010.0,4443211
6159,Noida,900sqft,,1.0,2018.0,2880712
6160,Delhi,1500sqft,,3.0,1998.0,4015059
6161,Noida,900sqft,3.0,3.0,1995.0,3018836
6162,Noida,1500sqft,2.0,3.0,2008.0,3078605
6163,Bangalore,800 sqft,3.0,1.0,,6566949
6164,Noida,1500sqft,3.0,1.0,2005.0,3143279
6165,Noida,1200 sqft,3.0,2.0,2015.0,3379584
6166,Delhi,NaN,1.0,3.0,2000.0,2853039
6167,Noida,900sqft,2.0,2.0,2008.0,2752826
6168,Noida,,2.0,1.0,2010.0,2653871
6169,Pune,1200 sqft,4.0,,,5095483
6170,Noida,900sqft,2.0,1.0,2018.0,3198657
6171,Pune,2000 sqft,,2.0,1998.0,4660790
6172,Noida,900sqft,3.0,2.0,1998.0,2950386
6173,Mumbai,800 sqft,3.0,1.0,2012.0,7583583
6174,Noida,1000 sqft,2.0,2.0,1995.0,3458141
6175,Pune,800 sqft,4.0,,2008.0,4501870
6176,Pune,2000 sqft,3.0,1.0,2008.0,4959713
6177,Pune,1200 sqft,,1.0,2015.0,4844863
6178,Delhi,1500sqft,3.0,2.0,2015.0,3817473
6179,Pune,,2.0,2.0,2010.0,3259018
6180,Delhi,1200 sqft,3.0,1.0,1995.0,4318497
6181,Bangalore,,1.0,1.0,2012.0,5057345
6182,Mumbai,2000 sqft,3.0,1.0,2008.0,8587730
6183,Mumbai,800 sqft,4.0,2.0,1998.0,7933498
6184,Delhi,NaN,3.0,1.0,2012.0,2985461
6185,Bangalore,900sqft,1.0,1.0,1998.0,5807206
6186,Gurgaon,,2.0,3.0,2010.0,3873124
6187,Noida,2000 sqft,2.0,2.0,,3412174
6188,Delhi,900sqft,,3.0,2012.0,3554509
6189,Gurgaon,NaN,2.0,1.0,2015.0,4171261
6190,Mumbai,,2.0,,2010.0,5831697
6191,Bangalore,900sqft,4.0,1.0,2012.0,5876420
6192,Gurgaon,1000 sqft,3.0,2.0,2015.0,5440832
6193,Bangalore,2000 sqft,,1.0,2010.0,6901888
6194,Noida,1200 sqft,4.0,1.0,1998.0,3742526
6195,Delhi,1500sqft,4.0,1.0,1995.0,4112399
6196,Noida,900sqft,1.0,1.0,2012.0,3246725
6197,Bangalore,1200 sqft,,1.0,1995.0,6936248
6198,Pune,1800 sqft,2.0,3.0,2010.0,5057340
6199,Mumbai,1800 sqft,2.0,1.0,2000.0,8199735
6200,Delhi,1500sqft,2.0,2.0,,4087567
6201,Delhi,1800 sqft,3.0,,1998.0,4008630
6202,Noida,1800 sqft,1.0,2.0,1995.0,3581066
6203,Pune,,4.0,,2018.0,3591657
6204,Pune,1800 sqft,4.0,3.0,2008.0,4957849
6205,Pune,1000 sqft,4.0,2.0,2012.0,4776733
6206,Gurgaon,NaN,2.0,,2012.0,4001971
6207,Delhi,1800 sqft,1.0,1.0,2008.0,4084811
6208,Noida,,2.0,1.0,1998.0,2448960
6209,Pune,1000 sqft,1.0,1.0,1995.0,4804335
6210,Delhi,1200 sqft,2.0,1.0,1995.0,4049688
6211,Delhi,1800 sqft,2.0,1.0,2008.0,3953448
6212,Delhi,,1.0,1.0,2005.0,3076117
6213,Pune,900sqft,1.0,3.0,,4167356
6214,Delhi,900sqft,4.0,,,3745160
6215,Bangalore,,4.0,2.0,,4825770
6216,Noida,1000 sqft,1.0,2.0,2015.0,3543749
6217,Delhi,1500sqft,1.0,1.0,2012.0,3762329
6218,Gurgaon,,,,2012.0,3826216
6219,Delhi,,1.0,,,3136287
6220,Mumbai,1200 sqft,4.0,2.0,2008.0,8419881
6221,Pune,,4.0,2.0,1995.0,3436846
6222,Gurgaon,,4.0,2.0,2000.0,4209166
6223,Delhi,1200 sqft,1.0,2.0,2000.0,4442531
6224,Gurgaon,1000 sqft,2.0,,2008.0,5810626
6225,Bangalore,900sqft,,,2008.0,6023504
6226,Pune,,2.0,1.0,2018.0,3706415
6227,Mumbai,1800 sqft,2.0,3.0,,8584075
6228,Mumbai,1800 sqft,1.0,2.0,2010.0,8389962
6229,Gurgaon,2000 sqft,,3.0,2018.0,5772965
6230,Delhi,,1.0,,1998.0,3220352
6231,Gurgaon,900sqft,,3.0,2012.0,5031051
6232,Pune,1200 sqft,3.0,2.0,1998.0,4707577
6233,Gurgaon,1500sqft,3.0,,2018.0,5077953
6234,Delhi,NaN,1.0,3.0,,3140551
6235,Delhi,800 sqft,2.0,2.0,,4028700
6236,Bangalore,2000 sqft,1.0,,2000.0,7097978
6237,Mumbai,,1.0,3.0,2010.0,5932261
6238,Mumbai,,4.0,1.0,2008.0,5882032
6239,Pune,NaN,1.0,1.0,1998.0,3463823
6240,Delhi,,2.0,1.0,2008.0,3093946
6241,Mumbai,900sqft,2.0,3.0,,7004145
6242,Noida,800 sqft,,3.0,2005.0,3453140
6243,Mumbai,900sqft,2.0,1.0,2015.0,6952170
6244,Gurgaon,800 sqft,2.0,1.0,2005.0,5181453
6245,Pune,900sqft,4.0,1.0,2010.0,4416626
6246,Bangalore,NaN,2.0,2.0,2000.0,4875416
6247,Gurgaon,1800 sqft,2.0,2.0,1995.0,5707932
6248,Pune,1000 sqft,1.0,1.0,2012.0,4685887
6249,Mumbai,800 sqft,,1.0,2012.0,7890685
6250,Bangalore,2000 sqft,4.0,,2010.0,7175555
6251,Mumbai,,,1.0,,5881756
6252,Bangalore,,2.0,,1995.0,5207747
6253,Pune,900sqft,4.0,3.0,2015.0,4067960
6254,Pune,1000 sqft,3.0,,2015.0,4805637
6255,Mumbai,1200 sqft,2.0,3.0,1998.0,8301534
6256,Delhi,1800 sqft,2.0,2.0,2008.0,4046618
6257,Mumbai,NaN,,2.0,2008.0,5785314
6258,Gurgaon,2000 sqft,2.0,,,5786994
6259,Noida,,2.0,3.0,2000.0,2296614
6260,Noida,900sqft,4.0,3.0,1995.0,3161479
6261,Pune,,2.0,3.0,,3262171
6262,Mumbai,,2.0,2.0,2015.0,5845704
6263,Gurgaon,800 sqft,4.0,2.0,2018.0,5306324
6264,Bangalore,NaN,3.0,1.0,2005.0,5071442
6265,Delhi,NaN,2.0,1.0,2008.0,2884139
6266,Pune,,3.0,,2018.0,3592896
6267,Gurgaon,1000 sqft,1.0,1.0,2005.0,5836837
6268,Delhi,1000 sqft,2.0,2.0,1998.0,4292342
6269,Gurgaon,2000 sqft,2.0,2.0,1995.0,5822313
6270,Pune,1500sqft,1.0,1.0,2010.0,4710831
6271,Pune,2000 sqft,,,,5010581
6272,Gurgaon,2000 sqft,3.0,1.0,2005.0,5648548
6273,Delhi,,4.0,2.0,2015.0,3120435
6274,Noida,800 sqft,,1.0,1995.0,3484861
6275,Mumbai,,1.0,2.0,2010.0,6030912
6276,Gurgaon,2000 sqft,3.0,3.0,2005.0,5398091
6277,Bangalore,,2.0,1.0,2000.0,5217584
6278,Pune,1800 sqft,2.0,2.0,2005.0,4758484
6279,Noida,2000 sqft,1.0,2.0,2005.0,3556017
6280,Delhi,2000 sqft,3.0,2.0,2012.0,4258926
6281,Mumbai,1200 sqft,2.0,1.0,1995.0,8189244
6282,Delhi,,1.0,1.0,2018.0,3246726
6283,Pune,900sqft,1.0,3.0,2015.0,4062287
6284,Mumbai,,2.0,1.0,2015.0,5914811
6285,Gurgaon,,3.0,3.0,,3958759
6286,Bangalore,1000 sqft,3.0,,2018.0,6895657
6287,Bangalore,1800 sqft,,2.0,2005.0,6878528
6288,Bangalore,,3.0,1.0,2010.0,5027266
6289,Gurgaon,1500sqft,4.0,2.0,1998.0,5026698
6290,Mumbai,2000 sqft,3.0,2.0,2005.0,8251008
6291,Mumbai,2000 sqft,3.0,1.0,2018.0,8389792
6292,Mumbai,1200 sqft,4.0,1.0,2005.0,8329105
6293,Pune,,4.0,3.0,2000.0,3654716
6294,Delhi,1000 sqft,,1.0,2018.0,3994139
6295,Gurgaon,,2.0,3.0,2018.0,4143784
6296,Gurgaon,NaN,3.0,3.0,2008.0,4156707
6297,Delhi,NaN,3.0,,2018.0,2934082
6298,Delhi,800 sqft,1.0,1.0,2010.0,4060622
6299,Pune,1000 sqft,1.0,2.0,2000.0,4824372
6300,Bangalore,,,1.0,2012.0,5071804
6301,Noida,1000 sqft,3.0,2.0,,3274169
6302,Bangalore,1500sqft,3.0,3.0,2000.0,6594450
6303,Noida,800 sqft,,3.0,1995.0,3405726
6304,Bangalore,900sqft,4.0,1.0,,6155490
6305,Noida,,3.0,2.0,2000.0,2540766
6306,Bangalore,900sqft,2.0,1.0,2008.0,5757799
6307,Pune,800 sqft,3.0,,,4676608
6308,Bangalore,2000 sqft,2.0,1.0,2010.0,7113920
6309,Noida,1500sqft,2.0,2.0,2008.0,3046442
6310,Pune,NaN,3.0,,2000.0,3717951
6311,Noida,,3.0,3.0,2018.0,2258662
6312,Mumbai,,,,2015.0,5859393
6313,Pune,2000 sqft,4.0,3.0,2008.0,5113577
6314,Delhi,NaN,,1.0,1998.0,3004433
6315,Bangalore,NaN,,3.0,2008.0,4972262
6316,Bangalore,1800 sqft,,2.0,2015.0,6961853
6317,Noida,1800 sqft,2.0,1.0,,3409480
6318,Gurgaon,,1.0,,1998.0,4196843
6319,Mumbai,800 sqft,2.0,2.0,,7655256
6320,Noida,,2.0,2.0,2018.0,2529183
6321,Mumbai,NaN,4.0,2.0,2000.0,6003864
6322,Pune,900sqft,3.0,,1998.0,4171298
6323,Pune,1800 sqft,2.0,,2015.0,5096827
6324,Pune,,,2.0,1995.0,3538221
6325,Delhi,,2.0,2.0,2015.0,3096844
6326,Gurgaon,900sqft,2.0,2.0,2000.0,4789149
6327,Bangalore,1500sqft,3.0,1.0,2012.0,6384284
6328,Noida,,3.0,1.0,2010.0,2388328
6329,Gurgaon,NaN,3.0,1.0,2008.0,4082562
6330,Bangalore,1000 sqft,3.0,1.0,1995.0,7013174
6331,Gurgaon,2000 sqft,2.0,2.0,2008.0,5385752
6332,Pune,,2.0,3.0,2000.0,3497066
6333,Delhi,800 sqft,4.0,1.0,2000.0,3664530
6334,Noida,NaN,,2.0,,2319990
6335,Mumbai,1000 sqft,3.0,2.0,1995.0,8447363
6336,Delhi,,2.0,1.0,2018.0,3020463
6337,Pune,1200 sqft,2.0,3.0,2018.0,4770719
6338,Bangalore,NaN,,1.0,2015.0,4880393
6339,Pune,,3.0,3.0,1998.0,3546925
6340,Delhi,1500sqft,,1.0,2015.0,3732905
6341,Noida,900sqft,2.0,2.0,2010.0,3097357
6342,Mumbai,2000 sqft,3.0,,2005.0,8371303
6343,Bangalore,1500sqft,2.0,2.0,1998.0,6385707
6344,Noida,NaN,2.0,2.0,2000.0,2719992
6345,Noida,2000 sqft,1.0,,1995.0,3657036
6346,Bangalore,1800 sqft,4.0,,1998.0,6973897
6347,Delhi,800 sqft,2.0,2.0,1995.0,3969935
6348,Delhi,800 sqft,1.0,1.0,2012.0,3728558
6349,Delhi,1500sqft,,1.0,2015.0,4129357
6350,Gurgaon,,,1.0,2018.0,4122518
6351,Delhi,800 sqft,4.0,1.0,2010.0,3745777
6352,Mumbai,2000 sqft,2.0,2.0,,8566595
6353,Delhi,1800 sqft,2.0,2.0,1995.0,4289302
6354,Gurgaon,2000 sqft,1.0,3.0,1995.0,5573737
6355,Noida,1000 sqft,2.0,1.0,1998.0,3675009
6356,Pune,,,2.0,1995.0,3255547
6357,Gurgaon,2000 sqft,,3.0,2008.0,5423597
6358,Noida,1500sqft,3.0,2.0,2005.0,3262598
6359,Bangalore,1500sqft,4.0,2.0,2008.0,6569154
6360,Mumbai,800 sqft,2.0,,2015.0,8040362
6361,Pune,,3.0,,2012.0,3699796
6362,Delhi,800 sqft,3.0,2.0,1998.0,3750236
6363,Mumbai,2000 sqft,4.0,2.0,,8245508
6364,Bangalore,900sqft,4.0,1.0,1995.0,5929956
6365,Gurgaon,1200 sqft,2.0,1.0,2005.0,5704853
6366,Gurgaon,900sqft,3.0,1.0,1995.0,4684666
6367,Delhi,,2.0,2.0,2015.0,2786417
6368,Gurgaon,800 sqft,3.0,,2012.0,5170986
6369,Gurgaon,2000 sqft,1.0,3.0,1998.0,5697911
6370,Gurgaon,,,2.0,,4077142
6371,Gurgaon,,4.0,3.0,,3862610
6372,Noida,1500sqft,2.0,1.0,2015.0,3062444
6373,Mumbai,1800 sqft,2.0,3.0,2005.0,8259138
6374,Bangalore,1800 sqft,2.0,2.0,2005.0,6930141
6375,Mumbai,800 sqft,1.0,,2008.0,7653269
6376,Delhi,1000 sqft,4.0,1.0,2010.0,4371401
6377,Mumbai,,2.0,,,6086849
6378,Noida,1200 sqft,2.0,1.0,1995.0,3465408
6379,Delhi,1500sqft,3.0,,,3883154
6380,Noida,1000 sqft,,3.0,2005.0,3687094
6381,Bangalore,1200 sqft,1.0,2.0,2018.0,7110489
6382,Gurgaon,1800 sqft,,1.0,2005.0,5520848
6383,Bangalore,1800 sqft,2.0,3.0,2012.0,7165027
6384,Bangalore,1800 sqft,3.0,,2010.0,7172130
6385,Delhi,,,3.0,,3013890
6386,Gurgaon,,2.0,1.0,2015.0,4079127
6387,Pune,800 sqft,3.0,1.0,2000.0,4488719
6388,Gurgaon,1500sqft,2.0,3.0,1998.0,5133440
6389,Pune,1200 sqft,2.0,1.0,2000.0,4998997
6390,Bangalore,NaN,2.0,,2012.0,4752841
6391,Mumbai,900sqft,,,2005.0,7401313
6392,Pune,1500sqft,3.0,1.0,1995.0,4366716
6393,Noida,1200 sqft,3.0,3.0,2018.0,3506926
6394,Delhi,900sqft,4.0,3.0,2018.0,3440853
6395,Delhi,,2.0,2.0,2018.0,2933903
6396,Gurgaon,,1.0,1.0,2008.0,4176990
6397,Gurgaon,1200 sqft,,2.0,1998.0,5419974
6398,Delhi,1800 sqft,2.0,1.0,1998.0,4221801
6399,Mumbai,,,1.0,1998.0,5842615
6400,Noida,,1.0,3.0,2010.0,2619147
6401,Gurgaon,1000 sqft,2.0,,,5849166
6402,Delhi,1800 sqft,4.0,,2018.0,4235001
6403,Pune,1500sqft,2.0,1.0,2015.0,4542945
6404,Pune,NaN,3.0,3.0,2018.0,3666469
6405,Bangalore,2000 sqft,2.0,1.0,2018.0,7008194
6406,Mumbai,1500sqft,,,1998.0,7981514
6407,Pune,,3.0,,1998.0,3452592
6408,Noida,,3.0,1.0,2010.0,2544904
6409,Delhi,1000 sqft,3.0,3.0,2000.0,4342988
6410,Delhi,,3.0,1.0,2010.0,2870795
6411,Mumbai,,3.0,2.0,2012.0,5870511
6412,Mumbai,,4.0,2.0,2010.0,5870444
6413,Pune,800 sqft,2.0,,2012.0,4339470
6414,Noida,NaN,1.0,3.0,2015.0,2515422
6415,Gurgaon,1200 sqft,,2.0,2018.0,5654727
6416,Mumbai,,4.0,2.0,2015.0,6012422
6417,Noida,,1.0,1.0,1998.0,2297355
6418,Mumbai,1200 sqft,1.0,2.0,2008.0,8283399
6419,Noida,1200 sqft,3.0,1.0,1998.0,3375067
6420,Delhi,1500sqft,3.0,1.0,2012.0,4095085
6421,Gurgaon,1200 sqft,3.0,3.0,2012.0,5777704
6422,Pune,1800 sqft,3.0,,2000.0,4882577
6423,Noida,2000 sqft,,1.0,1995.0,3368849
6424,Mumbai,,3.0,,,5993547
6425,Delhi,,1.0,2.0,1998.0,3243147
6426,Delhi,NaN,1.0,1.0,2015.0,2979562
6427,Gurgaon,1200 sqft,1.0,2.0,2018.0,5677143
6428,Pune,,2.0,3.0,2018.0,3556402
6429,Gurgaon,1500sqft,,1.0,2010.0,5017664
6430,Mumbai,1500sqft,3.0,2.0,2000.0,7841574
6431,Bangalore,1200 sqft,4.0,2.0,2008.0,7138081
6432,Pune,NaN,4.0,1.0,1998.0,3657455
6433,Delhi,900sqft,3.0,2.0,1998.0,3731404
6434,Gurgaon,1200 sqft,1.0,2.0,2010.0,5537522
6435,Gurgaon,1000 sqft,2.0,,2010.0,5416152
6436,Noida,1800 sqft,2.0,,2008.0,3557296
6437,Mumbai,,4.0,1.0,1995.0,5962411
6438,Noida,1800 sqft,2.0,1.0,2010.0,3504756
6439,Mumbai,,2.0,3.0,,6224647
6440,Bangalore,1000 sqft,3.0,,1995.0,7035714
6441,Pune,1000 sqft,,2.0,1998.0,4742388
6442,Pune,1500sqft,1.0,1.0,2010.0,4779009
6443,Pune,900sqft,,3.0,2008.0,4215312
6444,Pune,NaN,4.0,1.0,2012.0,3600370
6445,Pune,900sqft,2.0,,2015.0,4126509
6446,Delhi,900sqft,2.0,2.0,2008.0,3738814
6447,Gurgaon,NaN,1.0,1.0,,3948186
6448,Noida,2000 sqft,1.0,1.0,1995.0,3546100
6449,Noida,NaN,,3.0,2015.0,2534868
6450,Delhi,1800 sqft,1.0,,2008.0,4225327
6451,Delhi,1500sqft,1.0,2.0,2015.0,4026444
6452,Bangalore,1200 sqft,2.0,1.0,2018.0,7082925
6453,Delhi,NaN,1.0,1.0,2012.0,3067010
6454,Mumbai,1500sqft,3.0,2.0,2010.0,7895781
6455,Gurgaon,NaN,2.0,,2000.0,3819825
6456,Gurgaon,1500sqft,,,2000.0,5240077
6457,Bangalore,,4.0,3.0,2010.0,4947790
6458,Bangalore,1200 sqft,,,2015.0,7187915
6459,Delhi,,,1.0,2012.0,2770182
6460,Noida,2000 sqft,,2.0,2018.0,3683123
6461,Gurgaon,1800 sqft,2.0,2.0,2008.0,5689764
6462,Bangalore,1800 sqft,2.0,,2015.0,6940237
6463,Mumbai,1800 sqft,,1.0,2000.0,8494845
6464,Mumbai,1500sqft,2.0,3.0,2005.0,7817854
6465,Noida,800 sqft,1.0,2.0,2010.0,3436681
6466,Pune,1000 sqft,4.0,2.0,2018.0,4717199
6467,Pune,1200 sqft,4.0,1.0,1998.0,5065286
6468,Noida,2000 sqft,3.0,1.0,2008.0,3316912
6469,Delhi,1800 sqft,4.0,,2005.0,4374850
6470,Delhi,900sqft,3.0,3.0,2015.0,3758616
6471,Delhi,,3.0,3.0,2005.0,3134564
6472,Noida,800 sqft,1.0,,2008.0,3364658
6473,Delhi,1000 sqft,2.0,2.0,1995.0,3969991
6474,Noida,1500sqft,3.0,2.0,2018.0,3275427
6475,Bangalore,NaN,2.0,2.0,2005.0,5228809
6476,Bangalore,1500sqft,4.0,2.0,2000.0,6647818
6477,Noida,,2.0,,2012.0,2465532
6478,Mumbai,1800 sqft,4.0,2.0,2008.0,8196709
6479,Mumbai,,2.0,3.0,2010.0,5954029
6480,Noida,NaN,4.0,3.0,2015.0,2647258
6481,Bangalore,NaN,2.0,,2005.0,4888779
6482,Mumbai,,,2.0,2005.0,6221518
6483,Gurgaon,,4.0,1.0,2008.0,3912565
6484,Delhi,NaN,1.0,,2012.0,3225312
6485,Pune,NaN,,1.0,2005.0,3612315
6486,Mumbai,1800 sqft,,3.0,1995.0,8244952
6487,Pune,1800 sqft,3.0,2.0,,5119571
6488,Bangalore,800 sqft,2.0,,,6710485
6489,Noida,900sqft,2.0,3.0,,3224888
6490,Bangalore,1000 sqft,3.0,3.0,2012.0,7136997
6491,Noida,1000 sqft,1.0,1.0,,3526398
6492,Pune,2000 sqft,3.0,1.0,2005.0,4690696
